line,message_code,status_code,count
1,TOTAL,,549919
2,ACCESS_EXCEEDED,,
3,CERTIFICATE_BLOCKED,,
4,CERTIFICATE_EXPIRED,,
5,CERTIFICATE_INVALID,,
6,CERTIFICATE_MISSING,,
7,CERTIFICATE_REVOKED,,
8,CONSENT_EXPIRED,,3335
9,CONSENT_INVALID,,115
10,CONSENT_UNKNOWN,400,
11,CONSENT_UNKNOWN,403,1534
12,CORPORATE_ID_INVALID,,
13,FORMAT_ERROR,,763
14,PARAMETER_NOT_CONSISTENT,,
15,PARAMETER_NOT_SUPPORTED,,
16,PERIOD_INVALID,,
17,PSU_CREDENTIALS_INVALID,,
18,REQUESTED_FORMATS_INVALID,,
19,RESOURCE_BLOCKED,,1269
20,RESOURCE_EXPIRED,400,
21,RESOURCE_EXPIRED,403,53
22,RESOURCE_UNKNOWN,400,
23,RESOURCE_UNKNOWN,403,
24,RESOURCE_UNKNOWN,404,391679
25,ROLE_INVALID,,
26,SCA_METHOD_UNKNOWN,,
27,SERVICE_BLOCKED,,
28,SERVICE_INVALID,400,
29,SERVICE_INVALID,405,
30,SESSIONS_NOT_SUPPORTED,,
31,SIGNATURE_INVALID,,
32,SIGNATURE_MISSING,,
33,STATUS_INVALID,,
34,TIMESTAMP_INVALID,,
35,TOKEN_EXPIRED,,
36,TOKEN_INVALID,,
37,TOKEN_UNKNOWN,,
38,OTHER,,151171
